Date and Time,Field,Temperature [℃],Humidity [RH%],Pressure [hPa],Altitude [m],VOC [kΩ]
2022-05-31 01:22:28,Stevinson Almond,11.77,84.42,1008.95,74.77,52.24
2022-05-31 01:07:10,Stevinson Almond,11.7,84.01,1008.97,74.69,55.45
2022-05-31 00:52:59,Stevinson Almond,11.82,85.16,1008.95,74.77,52.04
2022-05-31 00:38:19,Stevinson Almond,11.99,81.88,1009,74.35,55.23
2022-05-31 00:23:54,Stevinson Almond,12.21,82.24,1009.02,74.27,52.9
2022-05-31 00:09:28,Stevinson Almond,12.57,83.52,1009,74.35,50.97
2022-05-30 23:55:04,Stevinson Almond,13.12,80.5,1008.98,74.44,52.8
2022-05-30 23:41:25,Stevinson Almond,13.41,79.72,1008.97,74.52,49.08
2022-05-30 23:26:44,Stevinson Almond,13.67,77.91,1009.02,74.19,50.53
2022-05-30 23:12:18,Stevinson Almond,13.97,75.55,1008.87,75.44,51.88
2022-05-30 22:57:17,Stevinson Almond,14.32,73.17,1008.93,74.94,56.5
2022-05-30 22:42:51,Stevinson Almond,14.52,71.31,1009.02,74.19,58.07
2022-05-30 22:29:01,Stevinson Almond,14.92,70.48,1009.07,73.77,56.58
2022-05-30 22:13:58,Stevinson Almond,15.46,65.17,1008.96,74.69,63.58
2022-05-30 22:00:06,Stevinson Almond,16.05,64.4,1008.83,75.77,61.12
2022-05-30 21:45:05,Stevinson Almond,16.68,61.06,1008.62,77.53,65.16
2022-05-30 21:30:38,Stevinson Almond,17.61,57.87,1008.49,78.61,67.8
2022-05-30 21:16:33,Stevinson Almond,18.66,51.8,1008.37,79.53,75.5
2022-05-30 21:01:43,Stevinson Almond,19.56,44.03,1008.23,80.7,91
2022-05-30 20:48:45,Stevinson Almond,20.23,42.42,1008.16,81.45,104.43
2022-05-30 20:32:48,Stevinson Almond,21.04,39.14,1008.05,82.29,100.78
2022-05-30 20:18:43,Stevinson Almond,22.16,34.46,1007.92,83.46,114.1
2022-05-30 20:03:51,Stevinson Almond,23.08,31.27,1007.83,84.12,115.92
2022-05-30 19:49:23,Stevinson Almond,23.95,28.45,1007.72,85.04,123.8
2022-05-30 19:35:17,Stevinson Almond,24.69,25.04,1007.7,85.21,143.41
2022-05-30 19:20:35,Stevinson Almond,25.05,24.28,1007.59,86.13,138.32
2022-05-30 19:06:19,Stevinson Almond,25.42,25.42,1007.53,86.63,138.43
2022-05-30 18:51:37,Stevinson Almond,25.87,22.42,1007.45,87.21,137.29
2022-05-30 18:37:14,Stevinson Almond,26.08,24.8,1007.43,87.47,126.13
2022-05-30 18:08:01,Stevinson Almond,26.75,27.38,1007.61,86.04,103.91
2022-05-30 17:54:06,Stevinson Almond,26.95,24.39,1007.55,86.46,126.03
2022-05-30 17:39:07,Stevinson Almond,26.99,24.12,1007.67,85.46,113.1
2022-05-30 17:25:16,Stevinson Almond,27.28,25.87,1007.71,85.13,118.29
2022-05-30 17:10:20,Stevinson Almond,27.33,25.06,1007.81,84.21,108.2
2022-05-30 16:55:58,Stevinson Almond,27.54,24.83,1007.84,83.96,108.34
2022-05-30 16:41:07,Stevinson Almond,28.02,24.43,1007.92,83.46,96.82
2022-05-30 16:26:30,Stevinson Almond,28.24,24.59,1008.08,81.95,95.66
2022-05-30 16:12:19,Stevinson Almond,27.52,26.37,1008.24,80.7,100.84
2022-05-30 15:57:40,Stevinson Almond,27.77,25.06,1008.4,79.53,102.38
2022-05-30 15:43:50,Stevinson Almond,27.56,24.95,1008.55,78.03,114.18
2022-05-30 15:28:34,Stevinson Almond,27.42,24.41,1008.68,76.94,94.9
2022-05-30 15:14:13,Stevinson Almond,28.5,25.53,1008.87,75.44,91.4
2022-05-30 14:59:32,Stevinson Almond,28.94,25.33,1009.04,74.02,88.41
2022-05-30 14:45:02,Stevinson Almond,28.72,25.03,1009.13,73.35,90.32
2022-05-30 14:31:36,Stevinson Almond,28.2,25.13,1009.32,71.6,105.21
2022-05-30 14:16:11,Stevinson Almond,28.13,26.1,1009.27,72.1,89.35
2022-05-30 14:02:00,Stevinson Almond,27.38,28.77,1009.6,69.51,88.41
2022-05-30 13:47:01,Stevinson Almond,27.68,27.98,1009.85,67.34,81.37
2022-05-30 13:32:32,Stevinson Almond,27.33,29.09,1010,66.01,82.08
2022-05-30 13:18:32,Stevinson Almond,26.95,28.33,1010.08,65.34,90.32
2022-05-30 13:03:32,Stevinson Almond,26.41,33.21,1010.18,64.51,75.91
2022-05-30 12:49:56,Stevinson Almond,26.5,32.99,1010.37,63.17,82.33
2022-05-30 12:34:37,Stevinson Almond,26.3,33.14,1010.61,60.84,74.1
2022-05-30 12:20:13,Stevinson Almond,25.68,34.87,1010.74,59.92,73.38
2022-05-30 12:05:35,Stevinson Almond,25.81,38.04,1010.85,58.92,69.66
2022-05-30 11:51:40,Stevinson Almond,25.25,36.06,1010.9,58.51,78.32
2022-05-30 11:36:40,Stevinson Almond,24.8,36.85,1010.86,58.84,77.6
2022-05-30 11:22:08,Stevinson Almond,24.11,38.96,1010.95,58.17,77.1
2022-05-30 11:08:40,Stevinson Almond,23.53,38.48,1011.01,57.76,84.32
2022-05-30 10:53:11,Stevinson Almond,23.22,40.24,1011.07,56.92,77.17
2022-05-30 10:39:19,Stevinson Almond,22.75,40.49,1011.09,56.84,81.05
2022-05-30 10:24:29,Stevinson Almond,22.49,39.88,1011.3,55.26,78.76
2022-05-30 10:09:47,Stevinson Almond,21.92,41.92,1011.26,55.59,79.59
2022-05-30 09:55:56,Stevinson Almond,21.52,41.65,1011.27,55.42,81.29
2022-05-30 09:41:37,Stevinson Almond,21.41,42.29,1011.38,54.59,80.28
2022-05-30 09:27:01,Stevinson Almond,21.54,43.45,1011.28,55.26,73.9
2022-05-30 09:12:03,Stevinson Almond,20.85,46.3,1011.2,56.01,71.26
2022-05-30 08:57:37,Stevinson Almond,20.23,44.8,1011.24,55.76,73.13
2022-05-30 08:43:08,Stevinson Almond,19.96,46.22,1011.2,56.09,70.6
2022-05-30 08:28:33,Stevinson Almond,20.16,43.95,1011.18,56.17,70.13
2022-05-30 08:14:47,Stevinson Almond,19.18,50.96,1011.09,56.84,63.15
2022-05-30 07:59:45,Stevinson Almond,18.45,50.96,1011.01,57.51,66.77
2022-05-30 07:45:47,Stevinson Almond,16.54,63.87,1011.1,56.84,60.63
2022-05-30 07:30:45,Stevinson Almond,14.67,73.42,1010.96,58.09,67.74
2022-05-30 07:16:19,Stevinson Almond,12.58,83.78,1010.89,58.59,65.98
2022-05-30 07:02:14,Stevinson Almond,11.2,89.55,1010.8,59.34,60.99
2022-05-30 06:47:28,Stevinson Almond,10.48,91.84,1010.74,59.92,63.67
2022-05-30 06:33:31,Stevinson Almond,9.87,92.53,1010.53,61.59,60.99
2022-05-30 06:18:38,Stevinson Almond,9.65,91.46,1010.49,61.92,66.14
2022-05-30 06:04:34,Stevinson Almond,9.51,91.32,1010.46,62.17,63.1
2022-05-30 05:49:48,Stevinson Almond,9.46,90.9,1010.29,63.59,66.77
2022-05-30 05:35:23,Stevinson Almond,9.62,90.43,1010.23,64.09,65.57
2022-05-30 05:21:13,Stevinson Almond,9.88,90.73,1010.06,65.51,60.5
2022-05-30 05:06:54,Stevinson Almond,10.03,90.95,1009.95,66.51,59.43
2022-05-30 04:52:48,Stevinson Almond,10,90.34,1009.94,66.51,57.87
2022-05-30 04:37:41,Stevinson Almond,10.01,89.35,1010.01,66.01,62.39
2022-05-30 04:23:32,Stevinson Almond,10.06,87.82,1009.96,66.34,60.85
2022-05-30 04:09:43,Stevinson Almond,10.13,88.03,1009.96,66.43,59.22
2022-05-30 03:54:25,Stevinson Almond,10.34,84.55,1009.81,67.51,67.91
2022-05-30 03:40:46,Stevinson Almond,10.38,87,1009.78,67.84,59.47
2022-05-30 03:25:39,Stevinson Almond,10.52,84.9,1009.87,67.18,64.71
2022-05-30 03:11:24,Stevinson Almond,10.75,87.97,1010.13,65.01,58.97
2022-05-30 02:57:05,Stevinson Almond,10.89,88.22,1010.15,64.84,57.27
2022-05-30 02:42:18,Stevinson Almond,11.14,87.58,1010.17,64.59,59.81
2022-05-30 02:28:29,Stevinson Almond,11.12,87.68,1010.07,65.26,55.78
2022-05-30 02:13:37,Stevinson Almond,11.24,85.75,1010.13,65.01,60.5
2022-05-30 01:59:31,Stevinson Almond,11.39,85.57,1010,66.01,58.55
2022-05-30 01:44:36,Stevinson Almond,11.77,82.94,1009.99,66.09,63.58
2022-05-30 01:30:11,Stevinson Almond,12.08,82.67,1010.11,65.09,62.72
2022-05-30 01:15:45,Stevinson Almond,12.28,81.98,1010.18,64.51,62.39
2022-05-30 00:47:52,Stevinson Almond,12.7,82.27,1010.02,65.93,55.53
2022-05-30 00:32:27,Stevinson Almond,12.94,77.96,1010.25,64.01,64.36
2022-05-30 00:18:39,Stevinson Almond,13.17,77.4,1010.25,63.92,59.38
2022-05-30 00:03:36,Stevinson Almond,13.4,76.81,1010.19,64.43,64.01
2022-05-29 23:49:10,Stevinson Almond,13.59,75.22,1010.34,63.26,62.96
2022-05-29 23:34:51,Stevinson Almond,13.75,77.07,1010.34,63.09,58.97
2022-05-29 23:20:18,Stevinson Almond,13.91,76.01,1010.32,63.26,60.94
2022-05-29 23:07:20,Stevinson Almond,14.06,74.18,1010.28,63.76,54.76
2022-05-29 22:51:25,Stevinson Almond,14.24,73.27,1010.21,64.26,61.61
2022-05-29 22:37:02,Stevinson Almond,14.69,71.66,1010.13,64.93,60.85
2022-05-29 22:23:07,Stevinson Almond,15,73.13,1010.02,65.84,56.08
2022-05-29 22:08:24,Stevinson Almond,15.52,70.26,1009.86,67.18,59.55
2022-05-29 21:54:47,Stevinson Almond,15.93,69.08,1009.74,68.18,56.81
2022-05-29 21:39:36,Stevinson Almond,16.5,65.2,1009.59,69.43,62.96
2022-05-29 21:25:24,Stevinson Almond,17.2,62.96,1009.44,70.68,63.87
2022-05-29 21:10:19,Stevinson Almond,18,57.23,1009.42,70.85,73.77
2022-05-29 20:55:52,Stevinson Almond,19.27,49.99,1009.21,72.52,84.83
2022-05-29 20:42:03,Stevinson Almond,20.54,44.75,1009.16,73.18,94.92
2022-05-29 20:26:57,Stevinson Almond,21.81,38.03,1008.99,74.44,103.39
2022-05-29 20:13:01,Stevinson Almond,22.65,35.35,1008.95,74.85,117.05
2022-05-29 19:58:23,Stevinson Almond,23.27,33.67,1008.96,74.6,117.79
2022-05-29 19:43:56,Stevinson Almond,23.92,33.3,1008.83,75.77,118.71
2022-05-29 19:29:32,Stevinson Almond,24.35,30.36,1008.73,76.52,136.51
2022-05-29 19:14:45,Stevinson Almond,24.6,27.19,1008.7,76.94,137.63
2022-05-29 19:00:42,Stevinson Almond,25,26.3,1008.66,77.19,153.39
2022-05-29 18:45:57,Stevinson Almond,25.47,24.35,1008.44,79.03,151.31
2022-05-29 18:32:14,Stevinson Almond,25.78,23.22,1008.4,79.2,164.38
2022-05-29 18:16:48,Stevinson Almond,26.05,24.39,1008.41,79.2,129.44
2022-05-29 18:02:26,Stevinson Almond,26.35,25.41,1008.53,78.11,129.24
2022-05-29 17:48:10,Stevinson Almond,26.76,24.64,1008.72,76.77,132.31
2022-05-29 17:33:09,Stevinson Almond,26.79,24.71,1008.88,75.19,115.92
2022-05-29 17:19:12,Stevinson Almond,26.87,26.99,1008.87,75.44,120.85
2022-05-29 17:04:46,Stevinson Almond,27.15,25.4,1009.02,74.35,126.32
2022-05-29 16:51:08,Stevinson Almond,27.09,24.81,1009.09,73.6,136.62
2022-05-29 16:35:13,Stevinson Almond,27.86,26.22,1009.2,72.43,96.38
2022-05-29 16:20:51,Stevinson Almond,27.27,26.3,1009.34,71.6,102.89
2022-05-29 16:06:40,Stevinson Almond,27.23,28.19,1009.53,69.93,97.1
2022-05-29 15:51:59,Stevinson Almond,27.23,32.98,1009.84,67.51,86.94
2022-05-29 15:38:03,Stevinson Almond,27.52,29.54,1009.98,66.26,95.06
2022-05-29 15:22:57,Stevinson Almond,27.34,31,1010.11,65.09,82.82
2022-05-29 15:08:51,Stevinson Almond,27.2,31.2,1010.24,63.92,86.67
2022-05-29 14:53:43,Stevinson Almond,27.17,30.9,1010.42,62.42,78.84
2022-05-29 14:39:13,Stevinson Almond,27.5,29.39,1010.73,60.01,83.14
2022-05-29 14:25:22,Stevinson Almond,27.47,30.33,1011.03,57.34,91.8
2022-05-29 14:10:30,Stevinson Almond,27.12,31.13,1011.23,55.92,84.66
2022-05-29 13:56:23,Stevinson Almond,26.87,33.95,1011.28,55.34,88.32
2022-05-29 13:41:54,Stevinson Almond,26.57,33.3,1011.38,54.42,94.28
2022-05-29 13:27:37,Stevinson Almond,25.6,32.98,1011.69,51.92,99.46
2022-05-29 13:12:17,Stevinson Almond,25.59,31.25,1011.66,52.09,92.72
2022-05-29 12:58:05,Stevinson Almond,25.29,32.55,1011.78,51.34,94.63
2022-05-29 12:43:32,Stevinson Almond,25.37,31.05,1011.94,49.84,95.55
2022-05-29 12:29:19,Stevinson Almond,24.99,34,1011.97,49.59,92.21
2022-05-29 12:14:20,Stevinson Almond,25.2,34.28,1012.02,49.43,88.6
2022-05-29 12:00:31,Stevinson Almond,25,33.88,1012.05,49.18,95.99
2022-05-29 11:45:52,Stevinson Almond,23.94,35.48,1012.15,48.01,91.1
2022-05-29 11:30:54,Stevinson Almond,23.43,37.15,1012.06,48.68,82.57
2022-05-29 11:16:50,Stevinson Almond,23.05,39.61,1011.94,49.84,80.12
2022-05-29 11:01:58,Stevinson Almond,22.8,44.54,1012.03,49.09,72.31
2022-05-29 10:48:55,Stevinson Almond,22.09,43.75,1012.33,46.76,79.82
2022-05-29 10:33:02,Stevinson Almond,21.7,44.75,1012.22,47.26,69.37
2022-05-29 10:18:58,Stevinson Almond,21.56,47.06,1012.22,47.43,65.83
2022-05-29 10:04:11,Stevinson Almond,21.56,52.41,1012.33,46.43,58.92
2022-05-29 09:49:38,Stevinson Almond,20.6,51.86,1012.37,46.26,61.03
2022-05-29 09:35:27,Stevinson Almond,20.62,53.57,1012.36,46.26,55.6
2022-05-29 09:20:48,Stevinson Almond,20.89,56.01,1012.33,46.68,52.4
2022-05-29 09:06:47,Stevinson Almond,20.11,58.12,1012.37,46.26,49.52
2022-05-29 08:51:48,Stevinson Almond,19.75,60.33,1012.5,45.1,48.65
2022-05-29 08:37:20,Stevinson Almond,20.2,63.26,1012.5,45.18,46.52
2022-05-29 08:22:53,Stevinson Almond,18.77,67.45,1012.42,45.93,47.2
2022-05-29 07:54:36,Stevinson Almond,17.02,76.87,1012.23,47.34,43.17
2022-05-29 07:40:22,Stevinson Almond,15.83,82.42,1012.31,46.76,43.75
2022-05-29 07:25:43,Stevinson Almond,14.78,86.14,1012.15,48.01,45.31
2022-05-29 07:10:49,Stevinson Almond,13.76,90.07,1012.09,48.68,46.63
2022-05-29 06:56:16,Stevinson Almond,13.12,92.96,1011.88,50.34,47.04
2022-05-29 06:42:03,Stevinson Almond,12.71,93.79,1011.77,51.26,45.12
2022-05-29 06:28:00,Stevinson Almond,12.44,94.3,1011.53,53.26,42.99
2022-05-29 06:13:35,Stevinson Almond,12.23,94.78,1011.32,55.01,43.17
2022-05-29 05:59:22,Stevinson Almond,12.06,94.94,1011.2,56.01,42.64
2022-05-29 05:44:23,Stevinson Almond,11.93,95.19,1011.1,56.84,45.31
2022-05-29 05:29:42,Stevinson Almond,11.97,94.78,1011.06,57.09,47.2
2022-05-29 05:15:15,Stevinson Almond,12.04,95.04,1011.1,56.76,47.12
2022-05-29 05:00:49,Stevinson Almond,11.96,93.94,1011.04,57.34,47.71
2022-05-29 04:47:08,Stevinson Almond,12.02,94.23,1010.9,58.59,42.47
2022-05-29 04:32:36,Stevinson Almond,12.13,93.74,1010.8,59.34,43.03
2022-05-29 04:18:19,Stevinson Almond,12.15,93.8,1010.82,59.17,41.46
2022-05-29 04:03:10,Stevinson Almond,12.35,93.28,1010.9,58.51,45.41
2022-05-29 03:48:51,Stevinson Almond,12.52,93.08,1011,57.76,43.66
2022-05-29 03:34:18,Stevinson Almond,12.73,92.54,1010.94,58.26,44.26
2022-05-29 03:20:26,Stevinson Almond,12.94,92.73,1010.95,58.09,39.58
2022-05-29 03:06:20,Stevinson Almond,13.04,92.7,1010.99,57.76,37.93
2022-05-29 02:51:26,Stevinson Almond,13.08,92.44,1010.98,57.84,39.88
2022-05-29 02:36:32,Stevinson Almond,13.3,91.97,1010.8,59.42,42.95
2022-05-29 02:22:06,Stevinson Almond,13.48,91.48,1010.79,59.42,42.38
2022-05-29 01:53:43,Stevinson Almond,14.08,90.51,1010.84,59.09,37.36
2022-05-29 01:39:41,Stevinson Almond,14.29,90.57,1010.85,58.92,34.58
2022-05-29 01:25:06,Stevinson Almond,14.37,90.64,1010.85,58.84,34.58
2022-05-29 01:09:55,Stevinson Almond,14.49,89.45,1010.93,58.26,39.58
2022-05-29 00:55:29,Stevinson Almond,14.68,88.57,1011.01,57.67,39.73
2022-05-29 00:41:23,Stevinson Almond,14.88,87.83,1011.11,56.84,37.36
2022-05-29 00:27:13,Stevinson Almond,15.1,87.12,1011.15,56.51,36.8
2022-05-29 00:12:18,Stevinson Almond,15.42,84.88,1011.18,56.17,41.58
2022-05-28 23:57:51,Stevinson Almond,15.85,82.41,1011.22,55.84,43.89
2022-05-28 23:43:30,Stevinson Almond,16.07,81.31,1011.21,55.92,44.78
2022-05-28 23:28:59,Stevinson Almond,16.45,78.58,1011.18,56.09,47.5
2022-05-28 23:14:31,Stevinson Almond,16.7,76.93,1011.14,56.51,49.28
2022-05-28 23:00:05,Stevinson Almond,16.9,75.16,1011.26,55.51,51.21
2022-05-28 22:45:48,Stevinson Almond,17.29,72.49,1011.31,55.09,52.76
2022-05-28 22:31:49,Stevinson Almond,17.57,70.53,1011.23,55.67,54.44
2022-05-28 22:16:36,Stevinson Almond,17.86,66.03,1011.08,57.01,62.39
2022-05-28 22:02:09,Stevinson Almond,18.26,63.71,1010.94,58.09,65.01
2022-05-28 21:47:45,Stevinson Almond,18.61,60.78,1010.91,58.34,68.97
2022-05-28 21:33:15,Stevinson Almond,18.97,58.82,1010.72,60.09,71.69
2022-05-28 21:19:44,Stevinson Almond,19.35,56.46,1010.67,60.34,72.49
2022-05-28 21:04:36,Stevinson Almond,19.68,56.34,1010.63,60.76,71.02
2022-05-28 20:50:30,Stevinson Almond,19.96,54.74,1010.43,62.26,72.75
2022-05-28 20:35:40,Stevinson Almond,20.38,53.84,1010.35,63.01,71.93
2022-05-28 20:20:59,Stevinson Almond,21.12,51.25,1010.2,64.34,74.23
2022-05-28 20:06:52,Stevinson Almond,21.74,49.55,1010.02,65.93,76.19
2022-05-28 19:52:38,Stevinson Almond,22.17,48,1009.9,66.76,77.96
2022-05-28 19:38:26,Stevinson Almond,22.3,48.35,1009.7,68.43,76.53
2022-05-28 19:23:38,Stevinson Almond,22.56,47.22,1009.64,68.93,74.29
2022-05-28 19:08:51,Stevinson Almond,22.98,48.14,1009.49,70.26,70.6
2022-05-28 18:54:08,Stevinson Almond,23.21,45.15,1009.42,70.93,72.75
2022-05-28 18:39:40,Stevinson Almond,23.47,45.06,1009.27,72.18,69.72
2022-05-28 18:25:18,Stevinson Almond,23.83,46.22,1009.3,71.85,64.81
2022-05-28 18:11:25,Stevinson Almond,24.18,47.29,1009.34,71.6,61.43
2022-05-28 17:56:22,Stevinson Almond,24.49,46.99,1009.23,72.35,57.23
2022-05-28 17:41:48,Stevinson Almond,25.4,44.24,1009.32,71.68,57.04
2022-05-28 17:27:18,Stevinson Almond,25.79,45.01,1009.37,71.27,55.42
2022-05-28 17:12:47,Stevinson Almond,25.35,46,1009.5,70.18,53.95
2022-05-28 16:58:54,Stevinson Almond,26.16,45.97,1009.54,69.76,50.84
2022-05-28 16:44:17,Stevinson Almond,27.06,42.95,1009.73,68.18,50.97
2022-05-28 16:29:54,Stevinson Almond,26.93,43.54,1009.71,68.34,50.84
